mission,region,mission_language_category,mission_language
Argentine Mission,Latin America,Spanish and Portugese,Spanish and Portugese
Armenian Mission,Europe,Other European Languages,Other European Languages
Australasian Mission,Australia,English,English
Australian Mission,Australia,English,English
Brazilian Mission,Latin America,Spanish and Portugese,Spanish and Portugese
British Mission,Europe,Welsh,Welsh
California Mission,United States,English,English
Canadian Mission,Canada,English,English
Carson Valley Mission,United States,English,English
Central Pacific Mission,Polynesia,Japanese,Japanese
Central States Mission,United States,English,English
Colorado Mission,United States,English,English
Czechoslovak Mission,Europe,Other European Languages,Other European Languages
Danish Mission,Europe,Scandinavian Languages,Scandinavian Languages
Danish-Norwegian Mission,Europe,Scandinavian Languages,Scandinavian Languages
Early Church Mission: Asia,Asia,Other Asian Languages,Other Asian Languages
Early Church Mission: Europe,Europe,Other European Languages,Other European Languages
Early Church Mission: North America,United States,English,English
Early Church Mission: South America ,Latin America,Spanish and Portugese,Spanish and Portugese
East Central States Mission,United States,English,English
East German Mission,Europe,German,German
East Indian Mission,Asia,English,English
Eastern States Mission,United States,English,English
Elk Mountain Mission,United States,Native American Languages,Native American Languages
European Mission,Europe,Other European Languages,Other European Languages
French Mission,Europe,Other European Languages,Other European Languages
German Mission,Europe,German,German
German and Austrian Mission,Europe,German,German
Gibraltar Mission,Europe,English,English
Hawaiian Mission,Polynesia,Polynesian Languages,Hawaiian
Hong Kong Mission,Asia,Other Asian Languages,Other Asian Languages
Iceland Mission,Europe,Scandinavian Languages,Scandinavian Languages
Indian Territory Mission,United States,Native American Languages,Native American Languages
Irish Mission,Great Britain,English,English
Italian Mission,Europe,Other European Languages,Other European Languages
Jamaica Mission,Carribean,English,English
Japan Mission,Asia,Japanese,Japanese
Las Vegas Mission,United States,English,English
Malta Mission,Europe,Other European Languages,Other European Languages
Mexican Mission,Latin America,Spanish and Portugese,Spanish and Portugese
Middle States Mission,United States,English,English
Midwives and Nurses Mission,United States,English,English
Montana Mission,United States,English,English
Netherlands Mission,Europe,Other European Languages,Other European Languages
New England Mission,United States,English,English
New Zealand Mission,Polynesia,Polynesian Languages,Maori
North Central States Mission,United States,English,English
Northern States Mission,United States,English,English
Northwestern States (Great Lakes) Mission,United States,English,English
Northwestern States (Pacific) Mission,United States,English,English
Norwegian Mission,Europe,Scandinavian Languages,Scandinavian Languages
Palestine-Syrian Mission,Middle East,Middle Eastern Languages,Middle Eastern Languages
Salmon River Mission,United States,Native American Languages,Native American Languages
Salt Lake Mission Home ,United States,English,English
Samoan Mission,Polynesia,Polynesian Languages,Samoan
Scandinavian Mission,Europe,Scandinavian Languages,Scandinavian Languages
Shoshone Mission,United States,Native American Languages,Native American Languages
Siam Mission,Asia,Other Asian Languages,Other Asian Languages
South African Mission,Africa,English,English
South American Mission,Latin America,Spanish and Portugese,Spanish and Portugese
Southern States Mission,United States,English,English
Southern Utah Mission,United States,Native American Languages,Native American Languages
Southwestern States Mission,United States,English,English
Spanish American Mission,United States,Spanish and Portugese,Spanish and Portugese
Swedish Mission,Europe,Scandinavian Languages,Scandinavian Languages
Swiss Mission,Europe,German,German
Swiss and German Mission,Europe,German,German
Tahitian Mission,Polynesia,Polynesian Languages,Tahitian
Temple Square Mission,United States,English,English
Texas Mission,United States,English,English
The Tabernacle Choir at Temple Square Mission,United States,English,English
Tongan Mission ,Polynesia,Polynesian Languages,Tongan
Turkish Mission,Middle East,Middle Eastern Languages,Middle Eastern Languages
Unspecified Native American Mission,United States,Native American Languages,Native American Languages
Welsh Mission,Europe,Welsh,Welsh
West German Mission,Europe,German,German
Western States Mission,United States,English,English
White Mountain Mission,United States,Native American Languages,Native American Languages
